driver, K, U, Reqs, Zipf_A, PQ_Frequency, S_Hyper(0e+00; 0.100), GD_PQ
GD3.DynPromote.100, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.316103, 0.175805, 0.211492
GD3.DynPromote.100, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.309868, 0.150273, 0.183956
GD3.DynPromote.100, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.299442, 0.131333, 0.162741
GD3.DynPromote.100, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.289813, 0.120587, 0.150236
GD3.DynPromote.100, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.280053, 0.113093, 0.141444
GD3.DynPromote.100, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.264180, 0.102766, 0.128644
GD3.DynPromote.100, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.249932, 0.095607, 0.119510
GD3.DynPromote.100, 3.000e+03, 1.000e+05, 1.094e+06, 1.000, 0.226498, 0.085829, 0.106428
GD3.DynPromote.100, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.205683, 0.079312, 0.097075
GD3.DynPromote.100, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.187143, 0.074474, 0.089727
GD3.DynPromote.100, 7.500e+03, 1.000e+05, 1.080e+06, 1.000, 0.151737, 0.065329, 0.076260
GD3.DynPromote.100, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.134886, 0.058595, 0.066583
GD3.DynPromote.100, 1.500e+04, 1.000e+05, 1.050e+06, 1.000, 0.106637, 0.048184, 0.052774
GD3.DynPromote.100, 2.000e+04, 1.000e+05, 1.026e+06, 1.000, 0.083398, 0.040403, 0.043008
GD3.DynPromote.100, 3.000e+04, 1.000e+05, 9.637e+05, 1.000, 0.047202, 0.029592, 0.029565
GD3.DynPromote.100, 4.000e+04, 1.000e+05, 8.851e+05, 1.000, 0.029431, 0.022196, 0.021100
