driver, K, U, Reqs, Zipf_A, RM_Hyper(0e+00; 0.100), RM_HyperExpiry(1.010)(0e+00; 0.100)
MSN, 5.000e+01, 1.000e+05, 9.651e+04, 1.000, 81076.000000, 80968.000000
MSN, 1.000e+02, 1.000e+05, 9.651e+04, 1.000, 74342.000000, 74131.000000
MSN, 1.500e+02, 1.000e+05, 9.651e+04, 1.000, 70720.000000, 70350.000000
MSN, 2.000e+02, 1.000e+05, 9.651e+04, 1.000, 68361.000000, 67830.000000
MSN, 2.500e+02, 1.000e+05, 9.651e+04, 1.000, 66693.000000, 65898.000000
MSN, 3.000e+02, 1.000e+05, 9.651e+04, 1.000, 65438.000000, 64213.000000
MSN, 3.500e+02, 1.000e+05, 9.651e+04, 1.000, 64379.000000, 62496.000000
MSN, 4.000e+02, 1.000e+05, 9.651e+04, 1.000, 63500.000000, 60653.000000
MSN, 4.500e+02, 1.000e+05, 9.651e+04, 1.000, 62758.000000, 58973.000000
MSN, 5.000e+02, 1.000e+05, 9.651e+04, 1.000, 62121.000000, 57545.000000
MSN, 5.500e+02, 1.000e+05, 9.651e+04, 1.000, 61537.000000, 56369.000000
MSN, 6.000e+02, 1.000e+05, 9.651e+04, 1.000, 61046.000000, 55418.000000
MSN, 6.500e+02, 1.000e+05, 9.651e+04, 1.000, 60587.000000, 54770.000000
MSN, 7.000e+02, 1.000e+05, 9.651e+04, 1.000, 60143.000000, 54383.000000
MSN, 7.500e+02, 1.000e+05, 9.651e+04, 1.000, 59808.000000, 54159.000000
MSN, 8.000e+02, 1.000e+05, 9.651e+04, 1.000, 59504.000000, 54068.000000
MSN, 8.500e+02, 1.000e+05, 9.651e+04, 1.000, 59205.000000, 54032.000000
MSN, 9.000e+02, 1.000e+05, 9.651e+04, 1.000, 58936.000000, 54006.000000
MSN, 9.500e+02, 1.000e+05, 9.651e+04, 1.000, 58685.000000, 54006.000000
MSN, 1.000e+03, 1.000e+05, 9.651e+04, 1.000, 58473.000000, 54006.000000
MSN, 1.050e+03, 1.000e+05, 9.651e+04, 1.000, 58274.000000, 54006.000000
MSN, 1.100e+03, 1.000e+05, 9.651e+04, 1.000, 58095.000000, 54006.000000
MSN, 1.150e+03, 1.000e+05, 9.651e+04, 1.000, 57918.000000, 54006.000000
MSN, 1.200e+03, 1.000e+05, 9.651e+04, 1.000, 57764.000000, 54006.000000
MSN, 1.250e+03, 1.000e+05, 9.651e+04, 1.000, 57629.000000, 54006.000000
MSN, 1.300e+03, 1.000e+05, 9.651e+04, 1.000, 57473.000000, 54006.000000
MSN, 1.350e+03, 1.000e+05, 9.651e+04, 1.000, 57313.000000, 54006.000000
MSN, 1.400e+03, 1.000e+05, 9.651e+04, 1.000, 57178.000000, 54006.000000
MSN, 1.450e+03, 1.000e+05, 9.651e+04, 1.000, 57065.000000, 54006.000000
MSN, 1.500e+03, 1.000e+05, 9.651e+04, 1.000, 56949.000000, 54006.000000
MSN, 1.550e+03, 1.000e+05, 9.651e+04, 1.000, 56833.000000, 54006.000000
MSN, 1.600e+03, 1.000e+05, 9.651e+04, 1.000, 56733.000000, 54006.000000
MSN, 1.650e+03, 1.000e+05, 9.651e+04, 1.000, 56640.000000, 54006.000000
MSN, 1.700e+03, 1.000e+05, 9.651e+04, 1.000, 56557.000000, 54006.000000
MSN, 1.750e+03, 1.000e+05, 9.651e+04, 1.000, 56459.000000, 54006.000000
MSN, 1.800e+03, 1.000e+05, 9.651e+04, 1.000, 56381.000000, 54006.000000
MSN, 1.850e+03, 1.000e+05, 9.651e+04, 1.000, 56291.000000, 54006.000000
MSN, 1.900e+03, 1.000e+05, 9.651e+04, 1.000, 56215.000000, 54006.000000
MSN, 1.950e+03, 1.000e+05, 9.651e+04, 1.000, 56132.000000, 54006.000000
MSN, 2.000e+03, 1.000e+05, 9.651e+04, 1.000, 56047.000000, 54006.000000
MSN, 2.050e+03, 1.000e+05, 9.651e+04, 1.000, 55980.000000, 54006.000000
MSN, 2.100e+03, 1.000e+05, 9.651e+04, 1.000, 55923.000000, 54006.000000
MSN, 2.150e+03, 1.000e+05, 9.651e+04, 1.000, 55867.000000, 54006.000000
MSN, 2.200e+03, 1.000e+05, 9.651e+04, 1.000, 55816.000000, 54006.000000
MSN, 2.250e+03, 1.000e+05, 9.651e+04, 1.000, 55760.000000, 54006.000000
MSN, 2.300e+03, 1.000e+05, 9.651e+04, 1.000, 55709.000000, 54006.000000
MSN, 2.350e+03, 1.000e+05, 9.651e+04, 1.000, 55668.000000, 54006.000000
MSN, 2.400e+03, 1.000e+05, 9.651e+04, 1.000, 55635.000000, 54006.000000
MSN, 2.450e+03, 1.000e+05, 9.651e+04, 1.000, 55584.000000, 54006.000000
MSN, 2.500e+03, 1.000e+05, 9.651e+04, 1.000, 55523.000000, 54006.000000
MSN, 2.550e+03, 1.000e+05, 9.651e+04, 1.000, 55482.000000, 54006.000000
MSN, 2.600e+03, 1.000e+05, 9.651e+04, 1.000, 55431.000000, 54006.000000
MSN, 2.650e+03, 1.000e+05, 9.651e+04, 1.000, 55394.000000, 54006.000000
MSN, 2.700e+03, 1.000e+05, 9.651e+04, 1.000, 55352.000000, 54006.000000
MSN, 2.750e+03, 1.000e+05, 9.651e+04, 1.000, 55315.000000, 54006.000000
MSN, 2.800e+03, 1.000e+05, 9.651e+04, 1.000, 55276.000000, 54006.000000
MSN, 2.850e+03, 1.000e+05, 9.651e+04, 1.000, 55233.000000, 54006.000000
MSN, 2.900e+03, 1.000e+05, 9.651e+04, 1.000, 55186.000000, 54006.000000
MSN, 2.950e+03, 1.000e+05, 9.651e+04, 1.000, 55143.000000, 54006.000000
MSN, 3.000e+03, 1.000e+05, 9.651e+04, 1.000, 55105.000000, 54006.000000
MSN, 3.050e+03, 1.000e+05, 9.651e+04, 1.000, 55074.000000, 54006.000000
MSN, 3.100e+03, 1.000e+05, 9.651e+04, 1.000, 55044.000000, 54006.000000
MSN, 3.150e+03, 1.000e+05, 9.651e+04, 1.000, 55002.000000, 54006.000000
MSN, 3.200e+03, 1.000e+05, 9.651e+04, 1.000, 54965.000000, 54006.000000
MSN, 3.250e+03, 1.000e+05, 9.651e+04, 1.000, 54928.000000, 54006.000000
MSN, 3.300e+03, 1.000e+05, 9.651e+04, 1.000, 54890.000000, 54006.000000
MSN, 3.350e+03, 1.000e+05, 9.651e+04, 1.000, 54864.000000, 54006.000000
MSN, 3.400e+03, 1.000e+05, 9.651e+04, 1.000, 54826.000000, 54006.000000
MSN, 3.450e+03, 1.000e+05, 9.651e+04, 1.000, 54797.000000, 54006.000000
MSN, 3.500e+03, 1.000e+05, 9.651e+04, 1.000, 54754.000000, 54006.000000
MSN, 3.550e+03, 1.000e+05, 9.651e+04, 1.000, 54728.000000, 54006.000000
MSN, 3.600e+03, 1.000e+05, 9.651e+04, 1.000, 54688.000000, 54006.000000
MSN, 3.650e+03, 1.000e+05, 9.651e+04, 1.000, 54664.000000, 54006.000000
MSN, 3.700e+03, 1.000e+05, 9.651e+04, 1.000, 54640.000000, 54006.000000
MSN, 3.750e+03, 1.000e+05, 9.651e+04, 1.000, 54619.000000, 54006.000000
MSN, 3.800e+03, 1.000e+05, 9.651e+04, 1.000, 54589.000000, 54006.000000
MSN, 3.850e+03, 1.000e+05, 9.651e+04, 1.000, 54569.000000, 54006.000000
MSN, 3.900e+03, 1.000e+05, 9.651e+04, 1.000, 54541.000000, 54006.000000
MSN, 3.950e+03, 1.000e+05, 9.651e+04, 1.000, 54516.000000, 54006.000000
MSN, 4.000e+03, 1.000e+05, 9.651e+04, 1.000, 54489.000000, 54006.000000
MSN, 4.050e+03, 1.000e+05, 9.651e+04, 1.000, 54472.000000, 54006.000000
MSN, 4.100e+03, 1.000e+05, 9.651e+04, 1.000, 54451.000000, 54006.000000
MSN, 4.150e+03, 1.000e+05, 9.651e+04, 1.000, 54429.000000, 54006.000000
MSN, 4.200e+03, 1.000e+05, 9.651e+04, 1.000, 54415.000000, 54006.000000
MSN, 4.250e+03, 1.000e+05, 9.651e+04, 1.000, 54397.000000, 54006.000000
MSN, 4.300e+03, 1.000e+05, 9.651e+04, 1.000, 54382.000000, 54006.000000
MSN, 4.350e+03, 1.000e+05, 9.651e+04, 1.000, 54367.000000, 54006.000000
MSN, 4.400e+03, 1.000e+05, 9.651e+04, 1.000, 54354.000000, 54006.000000
MSN, 4.450e+03, 1.000e+05, 9.651e+04, 1.000, 54338.000000, 54006.000000
MSN, 4.500e+03, 1.000e+05, 9.651e+04, 1.000, 54319.000000, 54006.000000
MSN, 4.550e+03, 1.000e+05, 9.651e+04, 1.000, 54303.000000, 54006.000000
MSN, 4.600e+03, 1.000e+05, 9.651e+04, 1.000, 54284.000000, 54006.000000
MSN, 4.650e+03, 1.000e+05, 9.651e+04, 1.000, 54277.000000, 54006.000000
MSN, 4.700e+03, 1.000e+05, 9.651e+04, 1.000, 54261.000000, 54006.000000
MSN, 4.750e+03, 1.000e+05, 9.651e+04, 1.000, 54245.000000, 54006.000000
MSN, 4.800e+03, 1.000e+05, 9.651e+04, 1.000, 54228.000000, 54006.000000
MSN, 4.850e+03, 1.000e+05, 9.651e+04, 1.000, 54217.000000, 54006.000000
MSN, 4.900e+03, 1.000e+05, 9.651e+04, 1.000, 54205.000000, 54006.000000
MSN, 4.950e+03, 1.000e+05, 9.651e+04, 1.000, 54196.000000, 54006.000000
