driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 0.100), S_HyperExpiry(1.010)(0e+00; 0.100)
MSN, 5.000e+01, 1.000e+05, 9.651e+04, 1.000, 80769.000000, 80646.000000
MSN, 1.000e+02, 1.000e+05, 9.651e+04, 1.000, 73834.000000, 73608.000000
MSN, 1.500e+02, 1.000e+05, 9.651e+04, 1.000, 70125.000000, 69859.000000
MSN, 2.000e+02, 1.000e+05, 9.651e+04, 1.000, 67766.000000, 67296.000000
MSN, 2.500e+02, 1.000e+05, 9.651e+04, 1.000, 66098.000000, 65341.000000
MSN, 3.000e+02, 1.000e+05, 9.651e+04, 1.000, 64818.000000, 63651.000000
MSN, 3.500e+02, 1.000e+05, 9.651e+04, 1.000, 63768.000000, 62035.000000
MSN, 4.000e+02, 1.000e+05, 9.651e+04, 1.000, 62872.000000, 60299.000000
MSN, 4.500e+02, 1.000e+05, 9.651e+04, 1.000, 62153.000000, 58798.000000
MSN, 5.000e+02, 1.000e+05, 9.651e+04, 1.000, 61493.000000, 57346.000000
MSN, 5.500e+02, 1.000e+05, 9.651e+04, 1.000, 60914.000000, 56238.000000
MSN, 6.000e+02, 1.000e+05, 9.651e+04, 1.000, 60419.000000, 55382.000000
MSN, 6.500e+02, 1.000e+05, 9.651e+04, 1.000, 59971.000000, 54763.000000
MSN, 7.000e+02, 1.000e+05, 9.651e+04, 1.000, 59630.000000, 54401.000000
MSN, 7.500e+02, 1.000e+05, 9.651e+04, 1.000, 59270.000000, 54186.000000
MSN, 8.000e+02, 1.000e+05, 9.651e+04, 1.000, 58976.000000, 54080.000000
MSN, 8.500e+02, 1.000e+05, 9.651e+04, 1.000, 58689.000000, 54028.000000
MSN, 9.000e+02, 1.000e+05, 9.651e+04, 1.000, 58419.000000, 54009.000000
MSN, 9.500e+02, 1.000e+05, 9.651e+04, 1.000, 58205.000000, 54006.000000
MSN, 1.000e+03, 1.000e+05, 9.651e+04, 1.000, 58001.000000, 54006.000000
MSN, 1.050e+03, 1.000e+05, 9.651e+04, 1.000, 57818.000000, 54006.000000
MSN, 1.100e+03, 1.000e+05, 9.651e+04, 1.000, 57663.000000, 54006.000000
MSN, 1.150e+03, 1.000e+05, 9.651e+04, 1.000, 57460.000000, 54006.000000
MSN, 1.200e+03, 1.000e+05, 9.651e+04, 1.000, 57300.000000, 54006.000000
MSN, 1.250e+03, 1.000e+05, 9.651e+04, 1.000, 57182.000000, 54006.000000
MSN, 1.300e+03, 1.000e+05, 9.651e+04, 1.000, 57021.000000, 54006.000000
MSN, 1.350e+03, 1.000e+05, 9.651e+04, 1.000, 56886.000000, 54006.000000
MSN, 1.400e+03, 1.000e+05, 9.651e+04, 1.000, 56762.000000, 54006.000000
MSN, 1.450e+03, 1.000e+05, 9.651e+04, 1.000, 56653.000000, 54006.000000
MSN, 1.500e+03, 1.000e+05, 9.651e+04, 1.000, 56548.000000, 54006.000000
MSN, 1.550e+03, 1.000e+05, 9.651e+04, 1.000, 56449.000000, 54006.000000
MSN, 1.600e+03, 1.000e+05, 9.651e+04, 1.000, 56335.000000, 54006.000000
MSN, 1.650e+03, 1.000e+05, 9.651e+04, 1.000, 56243.000000, 54006.000000
MSN, 1.700e+03, 1.000e+05, 9.651e+04, 1.000, 56161.000000, 54006.000000
MSN, 1.750e+03, 1.000e+05, 9.651e+04, 1.000, 56093.000000, 54006.000000
MSN, 1.800e+03, 1.000e+05, 9.651e+04, 1.000, 56037.000000, 54006.000000
MSN, 1.850e+03, 1.000e+05, 9.651e+04, 1.000, 55941.000000, 54006.000000
MSN, 1.900e+03, 1.000e+05, 9.651e+04, 1.000, 55864.000000, 54006.000000
MSN, 1.950e+03, 1.000e+05, 9.651e+04, 1.000, 55804.000000, 54006.000000
MSN, 2.000e+03, 1.000e+05, 9.651e+04, 1.000, 55721.000000, 54006.000000
MSN, 2.050e+03, 1.000e+05, 9.651e+04, 1.000, 55683.000000, 54006.000000
MSN, 2.100e+03, 1.000e+05, 9.651e+04, 1.000, 55594.000000, 54006.000000
MSN, 2.150e+03, 1.000e+05, 9.651e+04, 1.000, 55546.000000, 54006.000000
MSN, 2.200e+03, 1.000e+05, 9.651e+04, 1.000, 55514.000000, 54006.000000
