workload, K, scaled_by, ARC, GD_PQ, PQ_Frequency, S_Hyper(0e+00; 0.100)
ZPop_UnitC, 39166, 9887108, 0.101226, 0.108389, 0.092076, 0.087354
Z(0.750000)P1C, 74583, 9811876, 0.099585, 0.099757, 0.091248, 0.084608 
Z(0.75,n=1M)P1C, 85000, 9979733, 0.529082, 0.606006, 0.529950, 0.525420
WorkingSetUC(10; 1), 89999, 9869026, 0.100146, 0.100146, 0.100307, 0.100034
ZipfFixedDriver.IntHigh.100, 42500, 9863997, 0.100861, 0.105109, 0.573963, 0.082853
ZipfFixedDriver.DynPromote.100, 42500, 9861094, 0.097604, 0.102612, 0.456461, 0.079733
GD1, 42500, 9854142, 0.012181, 0.005970, 0.004597, 0.005077
GD2, 42500, 9854142, 0.028395, 0.024449, 0.021516, 0.020010
GD3, 42500, 9854142, 0.030719, 0.015219, 0.010768, 0.012977
GD3.DynPromote.100, 42500, 9861094, 0.032020, 0.015697, 0.049730, 0.016071
DH(ZPop_1C; 0.050000; 10), 20000, 988514, 0.113540, 0.126967, 0.113251, 0.114252
VTree(40k), 35666, 1006021, 0.227093, 0.178962, 0.159478, 0.167787
VTree(40k)WBackEnd, 35666, 1006021, 370.023050, 347.276042, 328.146587, 334.580696 
MSN, 1500, 93668, 0.560362, 0.560020, 0.996787, 0.560020
Arc.S1, 525000.0, 7450095, 0.840625, 0.933023, 0.859881, 0.812851
Arc.S2, 525000.0, 33963083, 0.726628, 0.933627, 0.774387, 0.776309
Arc.S3, 525000.0, 32274215, 0.728858, 0.934893, 0.778493, 0.779398
SPCFinancial, 20000, 1479348, 0.495721, 0.503231, 0.639933, 0.495772
Arc.P1, 32800.0, 33834613, 0.717548, 0.819182, 0.793847, 0.719044
Arc.P2, 32800.0, 13355685, 0.722545, 0.797012, 0.785426, 0.727703
Arc.P3, 32800.0, 4115779, 0.816932, 0.934853, 0.881607, 0.879989
Arc.P4, 32800.0, 20705163, 0.871512, 0.924787, 0.938234, 0.909430
Arc.P5, 32800.0, 24020028, 0.850008, 0.909521, 0.920508, 0.882701
Arc.P6, 32800.0, 13157916, 0.751824, 0.935206, 0.899773, 0.829479
Arc.P7, 32800.0, 15238018, 0.855300, 0.942990, 0.912019, 0.898836
Arc.P8, 32800.0, 44671077, 0.722629, 0.810224, 0.801817, 0.715608
Arc.P9, 32800.0, 11177548, 0.797146, 0.894770, 0.883907, 0.837819
Arc.P10, 32800.0, 34819665, 0.896762, 0.953682, 0.945724, 0.931252
Arc.P11, 32800.0, 149339766, 0.729677, 0.775542, 0.820303, 0.729475
Arc.P12, 32800.0, 13719268, 0.833818, 0.892961, 0.880018, 0.850133
Arc.P13, 32800.0, 16683163, 0.829900, 0.902141, 0.908921, 0.854717
Arc.P14, 32800.0, 119434410, 0.788691, 0.827056, 0.948409, 0.803158
SPCWebSearch, 500000, 4539780, 0.892269, 0.949828, 0.912492, 0.850602
