driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 0.100), S_HyperExpiry(1.010)(0e+00; 0.100)
Uniform(e = call), 1.000e+02, 1.000e+05, 1.000e+06, 1.000, 0.998999, 0.999006
Uniform(e = call), 2.500e+02, 1.000e+05, 1.000e+06, 1.000, 0.997965, 0.997534
Uniform(e = call), 5.000e+02, 1.000e+05, 1.000e+06, 1.000, 0.996290, 0.995054
Uniform(e = call), 7.500e+02, 1.000e+05, 1.000e+06, 1.000, 0.994619, 0.992584
Uniform(e = call), 1.000e+03, 1.000e+05, 1.000e+06, 1.000, 0.992992, 0.990209
Uniform(e = call), 1.500e+03, 1.000e+05, 1.000e+06, 1.000, 0.989703, 0.985153
Uniform(e = call), 2.000e+03, 1.000e+05, 1.000e+06, 1.000, 0.986437, 0.979858
Uniform(e = call), 3.000e+03, 1.000e+05, 1.000e+06, 1.000, 0.979915, 0.970218
Uniform(e = call), 4.000e+03, 1.000e+05, 1.000e+06, 1.000, 0.973341, 0.960305
Uniform(e = call), 5.000e+03, 1.000e+05, 1.000e+06, 1.000, 0.966619, 0.950299
Uniform(e = call), 7.500e+03, 1.000e+05, 1.000e+06, 1.000, 0.949933, 0.925633
Uniform(e = call), 1.000e+04, 1.000e+05, 1.000e+06, 1.000, 0.933281, 0.900266
Uniform(e = call), 1.500e+04, 1.000e+05, 1.000e+06, 1.000, 0.899624, 0.852070
Uniform(e = call), 2.000e+04, 1.000e+05, 1.000e+06, 1.000, 0.866209, 0.801770
Uniform(e = call), 3.000e+04, 1.000e+05, 1.000e+06, 1.000, 0.799266, 0.703180
Uniform(e = call), 4.000e+04, 1.000e+05, 1.000e+06, 1.000, 0.732712, 0.605082
Uniform(e = call), 5.000e+04, 1.000e+05, 1.000e+06, 1.000, 0.665705, 0.509362
Uniform(e = call), 7.500e+04, 1.000e+05, 1.000e+06, 1.000, 0.501376, 0.358185
Uniform(e = call), 1.000e+05, 1.000e+05, 1.000e+06, 1.000, 0.358111, 0.358111
Uniform(e = call), 1.500e+05, 1.000e+05, 1.000e+06, 1.000, 0.358111, 0.358111
