driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 1.000), S_Hyper(0e+00; 0.750), S_Hyper(0e+00; 0.500), S_Hyper(0e+00; 0.250), S_Hyper(0e+00; 0.100), S_Hyper(0e+00; 0.100)
ZPop_UnitC, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.669023, 0.660207, 0.647687, 0.626656, 0.603014, 0.603014
ZPop_UnitC, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.586007, 0.577616, 0.565568, 0.545930, 0.524305, 0.524305
ZPop_UnitC, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.523112, 0.514911, 0.503309, 0.484434, 0.464870, 0.464870
ZPop_UnitC, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.485672, 0.477847, 0.466832, 0.448937, 0.430163, 0.430163
ZPop_UnitC, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.459280, 0.451556, 0.440635, 0.423066, 0.405554, 0.405554
ZPop_UnitC, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.421094, 0.413771, 0.403145, 0.387127, 0.371061, 0.371061
ZPop_UnitC, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.393773, 0.386468, 0.376616, 0.361426, 0.347301, 0.347301
ZPop_UnitC, 3.000e+03, 1.000e+05, 1.093e+06, 1.000, 0.355194, 0.348649, 0.339502, 0.325857, 0.313651, 0.313651
ZPop_UnitC, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.328008, 0.321536, 0.313033, 0.300484, 0.289890, 0.289890
ZPop_UnitC, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.306475, 0.300457, 0.292447, 0.281032, 0.271741, 0.271741
ZPop_UnitC, 7.500e+03, 1.000e+05, 1.079e+06, 1.000, 0.267131, 0.261813, 0.255075, 0.245715, 0.238698, 0.238698
ZPop_UnitC, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.239398, 0.234687, 0.228518, 0.220601, 0.215488, 0.215488
ZPop_UnitC, 1.500e+04, 1.000e+05, 1.049e+06, 1.000, 0.199382, 0.195587, 0.190877, 0.185478, 0.182878, 0.182878
ZPop_UnitC, 2.000e+04, 1.000e+05, 1.024e+06, 1.000, 0.170886, 0.167767, 0.164082, 0.160271, 0.158851, 0.158851
ZPop_UnitC, 3.000e+04, 1.000e+05, 9.602e+05, 1.000, 0.129916, 0.127718, 0.125612, 0.124051, 0.124706, 0.124706
ZPop_UnitC, 4.000e+04, 1.000e+05, 8.789e+05, 1.000, 0.100165, 0.099072, 0.097820, 0.097321, 0.098222, 0.098222
ZPop_UnitC, 5.000e+04, 1.000e+05, 7.694e+05, 1.000, 0.076870, 0.076203, 0.075756, 0.075705, 0.076308, 0.076308
ZPop_UnitC, 7.500e+04, 1.000e+05, 2.822e+05, 1.000, 0.032676, 0.032676, 0.032676, 0.032637, 0.032612, 0.032612
ZPop_UnitC, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
ZPop_UnitC, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
