driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 0.100), PQ_Frequency, LRU
GD2, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.177409, 0.193028, 0.208990
GD2, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.152723, 0.171555, 0.184148
GD2, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.134935, 0.151621, 0.164646
GD2, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.124419, 0.140652, 0.153274
GD2, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.117093, 0.130840, 0.145220
GD2, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.107113, 0.119950, 0.133597
GD2, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.100055, 0.112676, 0.125265
GD2, 3.000e+03, 1.000e+05, 1.093e+06, 1.000, 0.089955, 0.101534, 0.113528
GD2, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.082980, 0.093322, 0.105024
GD2, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.077605, 0.087365, 0.098360
GD2, 7.500e+03, 1.000e+05, 1.079e+06, 1.000, 0.067883, 0.075273, 0.086149
GD2, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.060915, 0.066727, 0.077384
GD2, 1.500e+04, 1.000e+05, 1.049e+06, 1.000, 0.050925, 0.054601, 0.064596
GD2, 2.000e+04, 1.000e+05, 1.024e+06, 1.000, 0.043819, 0.046076, 0.055445
GD2, 3.000e+04, 1.000e+05, 9.602e+05, 1.000, 0.033327, 0.033735, 0.041997
GD2, 4.000e+04, 1.000e+05, 8.789e+05, 1.000, 0.025423, 0.024894, 0.032095
GD2, 5.000e+04, 1.000e+05, 7.694e+05, 1.000, 0.019045, 0.018215, 0.024254
GD2, 7.500e+04, 1.000e+05, 2.822e+05, 1.000, 0.008321, 0.008262, 0.009894
GD2, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
GD2, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
