driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 0.100), PQ_Frequency, LRU
ZipfFixedDriver.IntHigh.100, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.585131, 0.982480, 0.700110
ZipfFixedDriver.IntHigh.100, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.507200, 0.974337, 0.616818
ZipfFixedDriver.IntHigh.100, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.449893, 0.962164, 0.553475
ZipfFixedDriver.IntHigh.100, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.416234, 0.950227, 0.515997
ZipfFixedDriver.IntHigh.100, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.392465, 0.938644, 0.489040
ZipfFixedDriver.IntHigh.100, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.359820, 0.916504, 0.450517
ZipfFixedDriver.IntHigh.100, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.336557, 0.894130, 0.423169
ZipfFixedDriver.IntHigh.100, 3.000e+03, 1.000e+05, 1.094e+06, 1.000, 0.304301, 0.854344, 0.384049
ZipfFixedDriver.IntHigh.100, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.281919, 0.814634, 0.355898
ZipfFixedDriver.IntHigh.100, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.264524, 0.778680, 0.333815
ZipfFixedDriver.IntHigh.100, 7.500e+03, 1.000e+05, 1.080e+06, 1.000, 0.233922, 0.691737, 0.292703
ZipfFixedDriver.IntHigh.100, 1.000e+04, 1.000e+05, 1.071e+06, 1.000, 0.212549, 0.607992, 0.262992
ZipfFixedDriver.IntHigh.100, 1.500e+04, 1.000e+05, 1.050e+06, 1.000, 0.182511, 0.459738, 0.220771
ZipfFixedDriver.IntHigh.100, 2.000e+04, 1.000e+05, 1.026e+06, 1.000, 0.160236, 0.330455, 0.190111
ZipfFixedDriver.IntHigh.100, 3.000e+04, 1.000e+05, 9.647e+05, 1.000, 0.127154, 0.131242, 0.145357
ZipfFixedDriver.IntHigh.100, 4.000e+04, 1.000e+05, 8.866e+05, 1.000, 0.102233, 0.101677, 0.112358
ZipfFixedDriver.IntHigh.100, 5.000e+04, 1.000e+05, 7.850e+05, 1.000, 0.080851, 0.080358, 0.086362
ZipfFixedDriver.IntHigh.100, 7.500e+04, 1.000e+05, 3.460e+05, 1.000, 0.036117, 0.035923, 0.036475
ZipfFixedDriver.IntHigh.100, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
ZipfFixedDriver.IntHigh.100, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
