driver, K, U, Reqs, Zipf_A, S(1)_Hyper(0e+00; 0.100), S(2)_Hyper(0e+00; 0.100), S(5)_Hyper(0e+00; 0.100), S(10)_Hyper(0e+00; 0.100), S(64)_Hyper(0e+00; 0.100), RM_Hyper(0e+00; 0.100)
Z(1.000100)P1C, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.736361, 0.685814, 0.644417, 0.624807, 0.603014, 0.600604
Z(1.400000)P1C, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.194011, 0.161550, 0.140346, 0.131809, 0.122312, 0.121299
Z(1.000100)P1C, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.653687, 0.603960, 0.564307, 0.546083, 0.524305, 0.521067
Z(1.400000)P1C, 2.500e+02, 1.000e+05, 1.098e+06, 1.000, 0.131382, 0.109368, 0.094791, 0.088880, 0.082007, 0.081077
Z(1.000100)P1C, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.588867, 0.541822, 0.503788, 0.485795, 0.464870, 0.461093
Z(1.400000)P1C, 5.000e+02, 1.000e+05, 1.096e+06, 1.000, 0.097067, 0.080661, 0.069757, 0.065218, 0.060376, 0.059610
Z(1.000100)P1C, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.550932, 0.504722, 0.467718, 0.450620, 0.430163, 0.426932
Z(1.400000)P1C, 7.500e+02, 1.000e+05, 1.092e+06, 1.000, 0.081134, 0.067111, 0.058094, 0.054395, 0.050453, 0.049899
Z(1.000100)P1C, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.523832, 0.478546, 0.442422, 0.424952, 0.405554, 0.401812
Z(1.400000)P1C, 1.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.071048, 0.058937, 0.050918, 0.047744, 0.044478, 0.044012
Z(1.000100)P1C, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.484657, 0.440665, 0.405569, 0.389711, 0.371061, 0.367672
Z(1.400000)P1C, 1.500e+03, 1.000e+05, 1.078e+06, 1.000, 0.058682, 0.048813, 0.042147, 0.039553, 0.037201, 0.036947
Z(1.000100)P1C, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.456762, 0.413658, 0.379618, 0.364129, 0.347301, 0.344151
Z(1.400000)P1C, 2.000e+03, 1.000e+05, 1.067e+06, 1.000, 0.051152, 0.042474, 0.036729, 0.034566, 0.032951, 0.032761
Z(1.000100)P1C, 3.000e+03, 1.000e+05, 1.093e+06, 1.000, 0.416474, 0.375362, 0.343035, 0.328851, 0.313651, 0.310780
Z(1.400000)P1C, 3.000e+03, 1.000e+05, 1.040e+06, 1.000, 0.041964, 0.034663, 0.029994, 0.028466, 0.027607, 0.027586
Z(1.000100)P1C, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.387578, 0.347919, 0.316892, 0.303504, 0.289890, 0.287620
Z(1.400000)P1C, 4.000e+03, 1.000e+05, 1.006e+06, 1.000, 0.036116, 0.029781, 0.026002, 0.024861, 0.024498, 0.024541
Z(1.000100)P1C, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.364841, 0.326156, 0.296707, 0.283919, 0.271741, 0.269845
Z(1.400000)P1C, 5.000e+03, 1.000e+05, 9.679e+05, 1.000, 0.031742, 0.026526, 0.023221, 0.022383, 0.022187, 0.022264
Z(1.000100)P1C, 7.500e+03, 1.000e+05, 1.079e+06, 1.000, 0.322673, 0.286200, 0.259443, 0.248369, 0.238698, 0.237469
Z(1.400000)P1C, 7.500e+03, 1.000e+05, 8.563e+05, 1.000, 0.025191, 0.020849, 0.018719, 0.018311, 0.018526, 0.018566
Z(1.000100)P1C, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.292040, 0.257627, 0.233231, 0.223435, 0.215488, 0.214842
Z(1.400000)P1C, 1.000e+04, 1.000e+05, 7.151e+05, 1.000, 0.020712, 0.017692, 0.016015, 0.015920, 0.016001, 0.016075
Z(1.000100)P1C, 1.500e+04, 1.000e+05, 1.049e+06, 1.000, 0.247291, 0.216683, 0.195199, 0.187739, 0.182878, 0.182701
Z(1.400000)P1C, 1.500e+04, 1.000e+05, 3.656e+05, 1.000, 0.014891, 0.013197, 0.012467, 0.012423, 0.012415, 0.012426
Z(1.000100)P1C, 2.000e+04, 1.000e+05, 1.024e+06, 1.000, 0.214972, 0.186649, 0.168040, 0.162145, 0.158851, 0.159034
Z(1.400000)P1C, 2.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 3.000e+04, 1.000e+05, 9.602e+05, 1.000, 0.165756, 0.143183, 0.129162, 0.125193, 0.124706, 0.125037
Z(1.400000)P1C, 3.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 4.000e+04, 1.000e+05, 8.789e+05, 1.000, 0.128611, 0.110980, 0.100701, 0.098414, 0.098222, 0.098675
Z(1.400000)P1C, 4.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 5.000e+04, 1.000e+05, 7.694e+05, 1.000, 0.098260, 0.084813, 0.078024, 0.076445, 0.076308, 0.076788
Z(1.400000)P1C, 5.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 7.500e+04, 1.000e+05, 2.822e+05, 1.000, 0.038817, 0.034831, 0.033385, 0.032828, 0.032612, 0.032556
Z(1.400000)P1C, 7.500e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Z(1.400000)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Z(1.000100)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
Z(1.400000)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
