driver, K, U, Reqs, Zipf_A, S(1)_Hyper(0e+00; 0.100), S(2)_Hyper(0e+00; 0.100), S(5)_Hyper(0e+00; 0.100), S(10)_Hyper(0e+00; 0.100), S(25)_Hyper(0e+00; 0.100), S(500)_Hyper(0e+00; 0.100), RM_Hyper(0e+00; 0.100)
ZPop_UnitC, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.736361, 0.685814, 0.644417, 0.624807, 0.609754, 0.600606, 0.600604
ZPop_UnitC, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.653687, 0.603960, 0.564307, 0.546083, 0.531274, 0.521183, 0.521067
ZPop_UnitC, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.588867, 0.541822, 0.503788, 0.485795, 0.471727, 0.461308, 0.461093
ZPop_UnitC, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.550932, 0.504722, 0.467718, 0.450620, 0.436846, 0.427101, 0.426932
ZPop_UnitC, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.523832, 0.478546, 0.442422, 0.424952, 0.411806, 0.402114, 0.401812
ZPop_UnitC, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.484657, 0.440665, 0.405569, 0.389711, 0.377297, 0.367929, 0.367672
ZPop_UnitC, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.456762, 0.413658, 0.379618, 0.364129, 0.352484, 0.344406, 0.344151
ZPop_UnitC, 3.000e+03, 1.000e+05, 1.093e+06, 1.000, 0.416474, 0.375362, 0.343035, 0.328851, 0.318178, 0.311043, 0.310780
ZPop_UnitC, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.387578, 0.347919, 0.316892, 0.303504, 0.293651, 0.287786, 0.287620
ZPop_UnitC, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.364841, 0.326156, 0.296707, 0.283919, 0.275265, 0.269973, 0.269845
ZPop_UnitC, 7.500e+03, 1.000e+05, 1.079e+06, 1.000, 0.322673, 0.286200, 0.259443, 0.248369, 0.241382, 0.237578, 0.237469
ZPop_UnitC, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.292040, 0.257627, 0.233231, 0.223435, 0.217274, 0.214922, 0.214842
ZPop_UnitC, 1.500e+04, 1.000e+05, 1.049e+06, 1.000, 0.247291, 0.216683, 0.195199, 0.187739, 0.183797, 0.182717, 0.182701
ZPop_UnitC, 2.000e+04, 1.000e+05, 1.024e+06, 1.000, 0.214972, 0.186649, 0.168040, 0.162145, 0.159357, 0.158984, 0.159034
ZPop_UnitC, 3.000e+04, 1.000e+05, 9.602e+05, 1.000, 0.165756, 0.143183, 0.129162, 0.125193, 0.124156, 0.124960, 0.125037
ZPop_UnitC, 4.000e+04, 1.000e+05, 8.789e+05, 1.000, 0.128611, 0.110980, 0.100701, 0.098414, 0.098076, 0.098585, 0.098675
ZPop_UnitC, 5.000e+04, 1.000e+05, 7.694e+05, 1.000, 0.098260, 0.084813, 0.078024, 0.076445, 0.076115, 0.076705, 0.076788
ZPop_UnitC, 7.500e+04, 1.000e+05, 2.822e+05, 1.000, 0.038817, 0.034831, 0.033385, 0.032828, 0.032942, 0.032506, 0.032556
ZPop_UnitC, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
ZPop_UnitC, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
