driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 0.100), S_Hyper_ClassTrack(0e+00; 0.100)
HotCost(2.00e+05;1.00e+07), 1.000e+02, 1.000e+05, 5.100e+06, 1.000, 635421.050021, 635448.250021
HotCost(2.00e+05;1.00e+07), 2.500e+02, 1.000e+05, 5.100e+06, 1.000, 533186.180018, 532945.980018
HotCost(2.00e+05;1.00e+07), 5.000e+02, 1.000e+05, 5.099e+06, 1.000, 456853.210015, 456762.100015
HotCost(2.00e+05;1.00e+07), 7.500e+02, 1.000e+05, 5.099e+06, 1.000, 412783.740014, 412634.580014
HotCost(2.00e+05;1.00e+07), 1.000e+03, 1.000e+05, 5.098e+06, 1.000, 381626.760012, 381560.630012
HotCost(2.00e+05;1.00e+07), 1.500e+03, 1.000e+05, 5.097e+06, 1.000, 338242.500011, 338011.160011
HotCost(2.00e+05;1.00e+07), 2.000e+03, 1.000e+05, 5.096e+06, 1.000, 307332.960009, 306873.570009
HotCost(2.00e+05;1.00e+07), 3.000e+03, 1.000e+05, 5.093e+06, 1.000, 264052.320007, 263569.320007
HotCost(2.00e+05;1.00e+07), 4.000e+03, 1.000e+05, 5.091e+06, 1.000, 234001.250005, 233171.600005
HotCost(2.00e+05;1.00e+07), 5.000e+03, 1.000e+05, 5.088e+06, 1.000, 211182.870004, 209965.530004
HotCost(2.00e+05;1.00e+07), 7.500e+03, 1.000e+05, 5.079e+06, 1.000, 169191.620001, 167617.450000
HotCost(2.00e+05;1.00e+07), 1.000e+04, 1.000e+05, 5.070e+06, 1.000, 139551.029997, 137428.569997
HotCost(2.00e+05;1.00e+07), 1.500e+04, 1.000e+05, 5.049e+06, 1.000, 98153.169998, 94955.629998
HotCost(2.00e+05;1.00e+07), 2.000e+04, 1.000e+05, 5.024e+06, 1.000, 69731.430001, 65235.650001
HotCost(2.00e+05;1.00e+07), 3.000e+04, 1.000e+05, 4.960e+06, 1.000, 39218.860000, 32374.569999
HotCost(2.00e+05;1.00e+07), 4.000e+04, 1.000e+05, 4.879e+06, 1.000, 28716.569999, 21565.770000
HotCost(2.00e+05;1.00e+07), 5.000e+04, 1.000e+05, 4.769e+06, 1.000, 21783.710000, 16150.410000
HotCost(2.00e+05;1.00e+07), 7.500e+04, 1.000e+05, 4.282e+06, 1.000, 9960.240000, 7452.760000
HotCost(2.00e+05;1.00e+07), 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
HotCost(2.00e+05;1.00e+07), 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
