driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 0.100), LRU
Z(0.700000)P1C, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.939032, 0.974683
Z(0.900000)P1C, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.751094, 0.834537
Z(1.000100)P1C, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.603014, 0.694644
Z(1.100000)P1C, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.446364, 0.531276
Z(1.400000)P1C, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.122312, 0.157042
Z(1.800000)P1C, 1.000e+02, 1.000e+05, 1.097e+06, 1.000, 0.015743, 0.021255
Z(2.000000)P1C, 1.000e+02, 1.000e+05, 1.094e+06, 1.000, 0.005549, 0.007529
Z(0.700000)P1C, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.902045, 0.950313
Z(0.900000)P1C, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.680233, 0.766769
Z(1.000100)P1C, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.524305, 0.611266
Z(1.100000)P1C, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.367132, 0.443151
Z(1.400000)P1C, 2.500e+02, 1.000e+05, 1.098e+06, 1.000, 0.082007, 0.105936
Z(1.800000)P1C, 2.500e+02, 1.000e+05, 1.088e+06, 1.000, 0.007650, 0.010165
Z(2.000000)P1C, 2.500e+02, 1.000e+05, 1.059e+06, 1.000, 0.002239, 0.002961
Z(0.700000)P1C, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.865171, 0.923750
Z(0.900000)P1C, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.622548, 0.710765
Z(1.000100)P1C, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.464870, 0.547849
Z(1.100000)P1C, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.313372, 0.380702
Z(1.400000)P1C, 5.000e+02, 1.000e+05, 1.096e+06, 1.000, 0.060376, 0.077944
Z(1.800000)P1C, 5.000e+02, 1.000e+05, 1.057e+06, 1.000, 0.004528, 0.005817
Z(2.000000)P1C, 5.000e+02, 1.000e+05, 9.219e+05, 1.000, 0.001311, 0.001446
Z(0.700000)P1C, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.839799, 0.904164
Z(0.900000)P1C, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.587581, 0.675500
Z(1.000100)P1C, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.430163, 0.510081
Z(1.100000)P1C, 7.500e+02, 1.000e+05, 1.098e+06, 1.000, 0.283498, 0.345987
Z(1.400000)P1C, 7.500e+02, 1.000e+05, 1.092e+06, 1.000, 0.050453, 0.064950
Z(1.800000)P1C, 7.500e+02, 1.000e+05, 9.990e+05, 1.000, 0.003439, 0.004128
Z(2.000000)P1C, 7.500e+02, 1.000e+05, 7.213e+05, 1.000, 0.000964, 0.000975
Z(0.700000)P1C, 1.000e+03, 1.000e+05, 1.099e+06, 1.000, 0.818994, 0.888162
Z(0.900000)P1C, 1.000e+03, 1.000e+05, 1.099e+06, 1.000, 0.561739, 0.649211
Z(1.000100)P1C, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.405554, 0.483257
Z(1.100000)P1C, 1.000e+03, 1.000e+05, 1.097e+06, 1.000, 0.263767, 0.322113
Z(1.400000)P1C, 1.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.044478, 0.056842
Z(1.800000)P1C, 1.000e+03, 1.000e+05, 9.310e+05, 1.000, 0.002813, 0.003184
Z(2.000000)P1C, 1.000e+03, 1.000e+05, 4.481e+05, 1.000, 0.000710, 0.000719
Z(0.700000)P1C, 1.500e+03, 1.000e+05, 1.098e+06, 1.000, 0.786272, 0.861739
Z(0.900000)P1C, 1.500e+03, 1.000e+05, 1.098e+06, 1.000, 0.524049, 0.610162
Z(1.000100)P1C, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.371061, 0.444512
Z(1.100000)P1C, 1.500e+03, 1.000e+05, 1.096e+06, 1.000, 0.236396, 0.289452
Z(1.400000)P1C, 1.500e+03, 1.000e+05, 1.078e+06, 1.000, 0.037201, 0.046857
Z(1.800000)P1C, 1.500e+03, 1.000e+05, 7.377e+05, 1.000, 0.002234, 0.002303
Z(2.000000)P1C, 1.500e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 2.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.760560, 0.839936
Z(0.900000)P1C, 2.000e+03, 1.000e+05, 1.097e+06, 1.000, 0.497056, 0.581109
Z(1.000100)P1C, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.347301, 0.416741
Z(1.100000)P1C, 2.000e+03, 1.000e+05, 1.094e+06, 1.000, 0.218120, 0.267025
Z(1.400000)P1C, 2.000e+03, 1.000e+05, 1.067e+06, 1.000, 0.032951, 0.040676
Z(1.800000)P1C, 2.000e+03, 1.000e+05, 4.985e+05, 1.000, 0.001815, 0.001826
Z(2.000000)P1C, 2.000e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 3.000e+03, 1.000e+05, 1.097e+06, 1.000, 0.720568, 0.804058
Z(0.900000)P1C, 3.000e+03, 1.000e+05, 1.095e+06, 1.000, 0.456742, 0.537649
Z(1.000100)P1C, 3.000e+03, 1.000e+05, 1.093e+06, 1.000, 0.313651, 0.377688
Z(1.100000)P1C, 3.000e+03, 1.000e+05, 1.090e+06, 1.000, 0.193475, 0.236412
Z(1.400000)P1C, 3.000e+03, 1.000e+05, 1.040e+06, 1.000, 0.027607, 0.033206
Z(1.800000)P1C, 3.000e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 3.000e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 4.000e+03, 1.000e+05, 1.095e+06, 1.000, 0.688776, 0.774199
Z(0.900000)P1C, 4.000e+03, 1.000e+05, 1.093e+06, 1.000, 0.427134, 0.505110
Z(1.000100)P1C, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.289890, 0.349447
Z(1.100000)P1C, 4.000e+03, 1.000e+05, 1.085e+06, 1.000, 0.176431, 0.215254
Z(1.400000)P1C, 4.000e+03, 1.000e+05, 1.006e+06, 1.000, 0.024498, 0.028567
Z(1.800000)P1C, 4.000e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 4.000e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 5.000e+03, 1.000e+05, 1.094e+06, 1.000, 0.662150, 0.748587
Z(0.900000)P1C, 5.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.403974, 0.478988
Z(1.000100)P1C, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.271741, 0.327194
Z(1.100000)P1C, 5.000e+03, 1.000e+05, 1.081e+06, 1.000, 0.163785, 0.198917
Z(1.400000)P1C, 5.000e+03, 1.000e+05, 9.679e+05, 1.000, 0.022187, 0.025264
Z(1.800000)P1C, 5.000e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 5.000e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 7.500e+03, 1.000e+05, 1.090e+06, 1.000, 0.609182, 0.694546
Z(0.900000)P1C, 7.500e+03, 1.000e+05, 1.086e+06, 1.000, 0.360594, 0.428160
Z(1.000100)P1C, 7.500e+03, 1.000e+05, 1.079e+06, 1.000, 0.238698, 0.286266
Z(1.100000)P1C, 7.500e+03, 1.000e+05, 1.067e+06, 1.000, 0.141893, 0.169964
Z(1.400000)P1C, 7.500e+03, 1.000e+05, 8.563e+05, 1.000, 0.018526, 0.019828
Z(1.800000)P1C, 7.500e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 7.500e+03, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 1.000e+04, 1.000e+05, 1.087e+06, 1.000, 0.567644, 0.649764
Z(0.900000)P1C, 1.000e+04, 1.000e+05, 1.079e+06, 1.000, 0.328633, 0.389976
Z(1.000100)P1C, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.215488, 0.257033
Z(1.100000)P1C, 1.000e+04, 1.000e+05, 1.052e+06, 1.000, 0.126716, 0.149742
Z(1.400000)P1C, 1.000e+04, 1.000e+05, 7.151e+05, 1.000, 0.016001, 0.016581
Z(1.800000)P1C, 1.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 1.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 1.500e+04, 1.000e+05, 1.079e+06, 1.000, 0.502147, 0.576248
Z(0.900000)P1C, 1.500e+04, 1.000e+05, 1.065e+06, 1.000, 0.282751, 0.332562
Z(1.000100)P1C, 1.500e+04, 1.000e+05, 1.049e+06, 1.000, 0.182878, 0.214324
Z(1.100000)P1C, 1.500e+04, 1.000e+05, 1.015e+06, 1.000, 0.106086, 0.122275
Z(1.400000)P1C, 1.500e+04, 1.000e+05, 3.656e+05, 1.000, 0.012415, 0.012396
Z(1.800000)P1C, 1.500e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 1.500e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 2.000e+04, 1.000e+05, 1.069e+06, 1.000, 0.449350, 0.515626
Z(0.900000)P1C, 2.000e+04, 1.000e+05, 1.049e+06, 1.000, 0.248243, 0.289082
Z(1.000100)P1C, 2.000e+04, 1.000e+05, 1.024e+06, 1.000, 0.158851, 0.183791
Z(1.100000)P1C, 2.000e+04, 1.000e+05, 9.691e+05, 1.000, 0.091741, 0.103099
Z(1.400000)P1C, 2.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.800000)P1C, 2.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 2.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 3.000e+04, 1.000e+05, 1.048e+06, 1.000, 0.364774, 0.415107
Z(0.900000)P1C, 3.000e+04, 1.000e+05, 1.010e+06, 1.000, 0.196559, 0.223492
Z(1.000100)P1C, 3.000e+04, 1.000e+05, 9.602e+05, 1.000, 0.124706, 0.139155
Z(1.100000)P1C, 3.000e+04, 1.000e+05, 8.556e+05, 1.000, 0.071250, 0.076336
Z(1.400000)P1C, 3.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.800000)P1C, 3.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 3.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 4.000e+04, 1.000e+05, 1.021e+06, 1.000, 0.295833, 0.332307
Z(0.900000)P1C, 4.000e+04, 1.000e+05, 9.590e+05, 1.000, 0.156227, 0.173740
Z(1.000100)P1C, 4.000e+04, 1.000e+05, 8.789e+05, 1.000, 0.098222, 0.106253
Z(1.100000)P1C, 4.000e+04, 1.000e+05, 7.028e+05, 1.000, 0.055577, 0.057536
Z(1.400000)P1C, 4.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.800000)P1C, 4.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 4.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 5.000e+04, 1.000e+05, 9.874e+05, 1.000, 0.235445, 0.260487
Z(0.900000)P1C, 5.000e+04, 1.000e+05, 8.933e+05, 1.000, 0.122777, 0.133017
Z(1.000100)P1C, 5.000e+04, 1.000e+05, 7.694e+05, 1.000, 0.076308, 0.080484
Z(1.100000)P1C, 5.000e+04, 1.000e+05, 5.001e+05, 1.000, 0.042954, 0.043212
Z(1.400000)P1C, 5.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.800000)P1C, 5.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 5.000e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 7.500e+04, 1.000e+05, 8.437e+05, 1.000, 0.107053, 0.113149
Z(0.900000)P1C, 7.500e+04, 1.000e+05, 6.018e+05, 1.000, 0.053756, 0.055112
Z(1.000100)P1C, 7.500e+04, 1.000e+05, 2.822e+05, 1.000, 0.032612, 0.032889
Z(1.100000)P1C, 7.500e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.400000)P1C, 7.500e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.800000)P1C, 7.500e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 7.500e+04, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.900000)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.000100)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.100000)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.400000)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.800000)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.700000)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(0.900000)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.000100)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.100000)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.400000)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(1.800000)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
Z(2.000000)P1C, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
