driver, K, U, Reqs, Zipf_A, PQ_Frequency, GD_PQ
ZPop_UnitC, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.587830, 0.694644
ZPop_UnitC, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.509506, 0.611266
ZPop_UnitC, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.452814, 0.547849
ZPop_UnitC, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.420967, 0.510081
ZPop_UnitC, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.397248, 0.483257
ZPop_UnitC, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.366396, 0.444512
ZPop_UnitC, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.343142, 0.416741
ZPop_UnitC, 3.000e+03, 1.000e+05, 1.093e+06, 1.000, 0.311776, 0.377688
ZPop_UnitC, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.289038, 0.349447
ZPop_UnitC, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.271189, 0.327194
ZPop_UnitC, 7.500e+03, 1.000e+05, 1.079e+06, 1.000, 0.238531, 0.286266
ZPop_UnitC, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.215581, 0.257033
ZPop_UnitC, 1.500e+04, 1.000e+05, 1.049e+06, 1.000, 0.182699, 0.214324
ZPop_UnitC, 2.000e+04, 1.000e+05, 1.024e+06, 1.000, 0.158463, 0.183791
ZPop_UnitC, 3.000e+04, 1.000e+05, 9.602e+05, 1.000, 0.123405, 0.139155
ZPop_UnitC, 4.000e+04, 1.000e+05, 8.789e+05, 1.000, 0.096902, 0.106253
ZPop_UnitC, 5.000e+04, 1.000e+05, 7.694e+05, 1.000, 0.075195, 0.080484
ZPop_UnitC, 7.500e+04, 1.000e+05, 2.822e+05, 1.000, 0.032704, 0.032889
ZPop_UnitC, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
ZPop_UnitC, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
