driver, K, U, Reqs, Zipf_A, S_Hyper(0e+00; 0.100), S_HyperExpiry(1.010)(0e+00; 0.100)
MSN, 1.000e+02, 1.000e+05, 9.633e+04, 1.000, 0.765407, 0.763259
MSN, 2.500e+02, 1.000e+05, 9.606e+04, 1.000, 0.685495, 0.677698
MSN, 5.000e+02, 1.000e+05, 9.559e+04, 1.000, 0.638048, 0.595261
MSN, 7.500e+02, 1.000e+05, 9.512e+04, 1.000, 0.615126, 0.561647
MSN, 1.000e+03, 1.000e+05, 9.463e+04, 1.000, 0.602135, 0.559918
MSN, 1.500e+03, 1.000e+05, 9.367e+04, 1.000, 0.587159, 0.560020
MSN, 2.000e+03, 1.000e+05, 9.268e+04, 1.000, 0.578586, 0.560080
MSN, 3.000e+03, 1.000e+05, 9.070e+04, 1.000, 0.568897, 0.560088
MSN, 4.000e+03, 1.000e+05, 8.874e+04, 1.000, 0.563836, 0.560230
MSN, 5.000e+03, 1.000e+05, 8.676e+04, 1.000, 0.561118, 0.560195
MSN, 7.500e+03, 1.000e+05, 8.172e+04, 1.000, 0.560534, 0.560534
MSN, 1.000e+04, 1.000e+05, 7.666e+04, 1.000, 0.560801, 0.560801
MSN, 1.500e+04, 1.000e+05, 6.683e+04, 1.000, 0.560875, 0.560875
MSN, 2.000e+04, 1.000e+05, 5.700e+04, 1.000, 0.559909, 0.559909
MSN, 3.000e+04, 1.000e+05, 3.697e+04, 1.000, 0.557864, 0.557864
MSN, 4.000e+04, 1.000e+05, 1.701e+04, 1.000, 0.555157, 0.555157
MSN, 4.200e+04, 1.000e+05, 1.295e+04, 1.000, 0.554998, 0.554998
