variant, size, throughput, missrate, requests, time
default, 42000, 19375.565228, 0.103731, 4999778, 258.045530081
hyper, 42000, 21384.830526, 0.087801, 4999838, 233.803021908
default, 5000, 10566.750622, 0.328248, 4997701, 472.964791059
hyper, 5000, 11566.895972, 0.265665, 4998178, 432.110569
default, 42000, 19337.428832, 0.103817, 4999808, 258.55598712
hyper, 42000, 20059.697953, 0.087569, 4999862, 249.249116898
default, 5000, 9411.166300, 0.328401, 4997424, 531.010061979
hyper, 5000, 11231.297584, 0.265692, 4998114, 445.016612053
default, 42000, 19951.843686, 0.103613, 4999794, 250.593081951
hyper, 42000, 20906.567594, 0.087601, 4999824, 239.150878191
default, 5000, 10330.777501, 0.328631, 4997702, 483.768235207
hyper, 5000, 10815.697909, 0.265599, 4998092, 462.114608049
default, 42000, 19197.409166, 0.103679, 4999780, 260.440351963
hyper, 42000, 20601.000611, 0.087522, 4999820, 242.697920084
default, 5000, 9705.273742, 0.328267, 4997470, 514.92313695
hyper, 5000, 11995.928950, 0.266123, 4998173, 416.655768871
default, 42000, 19653.402572, 0.103929, 4999773, 254.397322893
hyper, 42000, 20773.021385, 0.087962, 4999828, 240.688530922
default, 5000, 10149.123905, 0.328422, 4997532, 492.410187006
hyper, 5000, 11815.654324, 0.265274, 4998133, 423.009413004
default, 42000, 20148.367764, 0.103503, 4999801, 248.149183035
hyper, 42000, 21043.516660, 0.087728, 4999850, 237.595744133
default, 5000, 10100.671188, 0.328206, 4997580, 494.777020931
hyper, 5000, 11661.244930, 0.265961, 4998158, 428.61272788
default, 42000, 18487.453856, 0.103889, 4999771, 270.441297054
hyper, 42000, 19630.379681, 0.087509, 4999822, 254.698181152
default, 5000, 10045.491287, 0.328289, 4997814, 497.518126011
hyper, 5000, 11031.202584, 0.265658, 4998387, 453.113517046
default, 42000, 19727.165626, 0.104098, 4999797, 253.447306871
hyper, 42000, 20333.113566, 0.087610, 4999828, 245.895838022
default, 5000, 9055.762906, 0.328880, 4997602, 551.869792938
hyper, 5000, 11070.764014, 0.265834, 4998019, 451.461072922
default, 42000, 18364.490893, 0.103701, 4999677, 272.246969938
hyper, 42000, 20482.785977, 0.087685, 4999816, 244.098434925
default, 5000, 10635.573557, 0.328088, 4997834, 469.916734934
hyper, 5000, 11033.182242, 0.265812, 4998208, 453.015992165
default, 42000, 19167.751621, 0.103804, 4999747, 260.841599941
hyper, 42000, 21258.086795, 0.087858, 4999846, 235.197365046
default, 5000, 10192.608774, 0.328298, 4997554, 490.311568975
hyper, 5000, 11115.674565, 0.265502, 4998347, 449.66654706
