variant, size, throughput, missrate, requests, time
default, 35000, 17351.889871, 0.120896, 4999942, 288.149708033
hyper, 35000, 17433.838006, 0.125027, 4999945, 286.79542613
default, 35000, 17343.159226, 0.120993, 4999972, 288.296494007
hyper, 35000, 17540.257047, 0.125194, 4999960, 285.056255817
default, 35000, 17340.025772, 0.121038, 4999918, 288.345476866
hyper, 35000, 16977.655345, 0.125065, 4999925, 294.500324011
default, 35000, 17319.142302, 0.120994, 4999962, 288.695705175
hyper, 35000, 17346.049071, 0.125218, 4999943, 288.246792078
default, 35000, 17602.597503, 0.121078, 4999957, 284.04654479
hyper, 35000, 17752.928308, 0.124823, 4999971, 281.642043114
default, 35000, 17633.617705, 0.120829, 4999947, 283.546296835
hyper, 35000, 17221.053446, 0.125225, 4999947, 290.339206934
default, 35000, 17853.357293, 0.120690, 4999968, 280.057577848
hyper, 35000, 17167.780787, 0.125062, 4999955, 291.240612984
default, 35000, 17501.386405, 0.121156, 4999948, 285.688681126
hyper, 35000, 17259.011502, 0.125090, 4999926, 289.69944191
default, 35000, 17132.305704, 0.121114, 4999929, 291.842154026
hyper, 35000, 17599.604468, 0.124808, 4999964, 284.095248222
default, 35000, 17155.770152, 0.121219, 4999943, 291.443809032
hyper, 35000, 17247.158967, 0.124903, 4999940, 289.899339914
