variant, size, throughput, missrate, requests, time
default, 39000, 17742.471838, 0.111917, 4999698, 281.792641163
hyper, 39000, 20156.367248, 0.093952, 4999834, 248.052336931
default, 3000, 9621.704352, 0.376431, 4997205, 519.367964029
hyper, 3000, 10206.430182, 0.307550, 4997774, 489.669150829
default, 39000, 17573.656792, 0.111679, 4999692, 284.499239922
hyper, 39000, 20516.865867, 0.093635, 4999813, 243.692824841
default, 3000, 9193.608484, 0.377191, 4997360, 543.568938017
hyper, 3000, 10632.388335, 0.307725, 4997828, 470.056946993
default, 39000, 18774.798557, 0.112112, 4999688, 266.297823906
hyper, 39000, 20181.109262, 0.093683, 4999783, 247.745697975
default, 3000, 9204.199808, 0.376406, 4997163, 542.9220469
hyper, 3000, 10782.062552, 0.307382, 4997651, 463.51530385
default, 39000, 17181.341573, 0.111535, 4999771, 291.000035048
hyper, 39000, 19793.686162, 0.093772, 4999784, 252.594891071
default, 3000, 8883.464500, 0.376503, 4997138, 562.521300077
hyper, 3000, 10397.715341, 0.307681, 4997800, 480.663283825
default, 39000, 17830.680170, 0.111588, 4999725, 280.400127888
hyper, 39000, 21118.994391, 0.093757, 4999840, 236.74612093
default, 3000, 9197.530779, 0.376382, 4997187, 543.318323135
hyper, 3000, 10316.099704, 0.307633, 4997826, 484.46856308
default, 39000, 18131.626163, 0.111682, 4999726, 275.746144056
hyper, 39000, 20128.142573, 0.094052, 4999800, 248.398478985
default, 3000, 8845.055308, 0.376669, 4997234, 564.974873066
hyper, 3000, 10535.290605, 0.307386, 4997597, 474.36726594
default, 39000, 18631.663968, 0.111555, 4999742, 268.346509933
hyper, 39000, 20043.797796, 0.093755, 4999826, 249.445042849
default, 3000, 9060.268706, 0.376613, 4997378, 551.570616961
hyper, 3000, 10498.967302, 0.307780, 4997623, 476.010911942
default, 39000, 19127.136218, 0.111814, 4999671, 261.391509056
hyper, 39000, 18913.309340, 0.093695, 4999731, 264.349877119
default, 3000, 8548.679329, 0.376684, 4996920, 584.525376081
hyper, 3000, 10555.962048, 0.307341, 4997847, 473.462009192
default, 39000, 17031.943131, 0.111690, 4999722, 293.549711943
hyper, 39000, 20720.774217, 0.093610, 4999797, 241.293927908
default, 3000, 9360.788496, 0.376223, 4997441, 533.869663
hyper, 3000, 10841.942788, 0.307622, 4997668, 460.956868887
default, 39000, 18842.652582, 0.111665, 4999680, 265.338437796
hyper, 39000, 20059.380421, 0.093759, 4999770, 249.248476028
default, 3000, 9094.839971, 0.376921, 4997339, 549.469701052
hyper, 3000, 10469.335047, 0.307589, 4997659, 477.361644983
