variant, size, throughput, missrate, requests, time
default, 200000, 15228.757834, 0.165892, 4999120, 328.2684021
hyper, 200000, 15302.618429, 0.155189, 4999365, 326.699971199
default, 50000, 10641.124059, 0.276139, 4998002, 469.687410116
hyper, 50000, 13125.942553, 0.236960, 4998371, 380.80092001
default, 200000, 15292.076313, 0.165868, 4999055, 326.904921055
hyper, 200000, 15477.706767, 0.153890, 4999454, 323.009995937
default, 50000, 11906.875917, 0.276377, 4998253, 419.778708935
hyper, 50000, 10820.145422, 0.237214, 4998634, 461.974752188
default, 200000, 14532.351830, 0.165925, 4999214, 344.005846977
hyper, 200000, 14933.078206, 0.155007, 4999273, 334.778465033
default, 50000, 11034.671258, 0.276350, 4998084, 452.943624973
hyper, 50000, 12411.777819, 0.236983, 4998524, 402.724256992
default, 200000, 14636.367160, 0.165859, 4999023, 341.548073053
hyper, 200000, 15907.756800, 0.155179, 4999216, 314.262787819
default, 50000, 11443.540315, 0.276455, 4998047, 436.757057905
hyper, 50000, 12387.682619, 0.237124, 4998540, 403.508884907
default, 200000, 14677.656340, 0.165691, 4999164, 340.596883059
hyper, 200000, 15374.966837, 0.155241, 4999156, 325.149059057
default, 50000, 11024.264386, 0.276551, 4998009, 453.364399195
hyper, 50000, 11960.372423, 0.236954, 4998456, 417.918090105
default, 200000, 14831.739629, 0.165731, 4999259, 337.064911127
hyper, 200000, 15374.967978, 0.155275, 4999180, 325.150595903
default, 50000, 11391.054775, 0.276396, 4997835, 438.750853062
hyper, 50000, 11926.044915, 0.237012, 4998522, 419.126544952
default, 200000, 13881.072039, 0.165969, 4999237, 360.147759914
hyper, 200000, 14951.754509, 0.155126, 4999397, 334.36858511
default, 50000, 11340.964493, 0.276361, 4998034, 440.706255913
hyper, 50000, 12503.776378, 0.236732, 4998286, 399.742113829
default, 200000, 14067.849532, 0.165870, 4999134, 355.358790874
hyper, 200000, 14349.330515, 0.155181, 4999363, 348.403919935
default, 50000, 11420.490017, 0.276471, 4998031, 437.637176037
hyper, 50000, 12526.257377, 0.236995, 4998421, 399.035470009
default, 200000, 14980.607063, 0.165590, 4999099, 333.704700947
hyper, 200000, 15749.617024, 0.155041, 4999196, 317.416988134
default, 50000, 11400.960166, 0.276707, 4997860, 438.371850014
hyper, 50000, 11177.909015, 0.236727, 4998601, 447.185693979
default, 200000, 13727.348627, 0.166066, 4999344, 364.188608885
hyper, 200000, 15176.837883, 0.155113, 4999166, 329.394438982
default, 50000, 10884.983467, 0.276456, 4998042, 459.1685431
hyper, 50000, 12264.789785, 0.236819, 4998607, 407.557494879
