driver, K, U, Reqs, Zipf_A, GD_PQ, PK_Freq
ZPop_UnitC, 1.000e+02, 1.000e+05, 1.100e+06, 1.000, 0.694644, 0.559137
ZPop_UnitC, 2.500e+02, 1.000e+05, 1.100e+06, 1.000, 0.611266, 0.485160
ZPop_UnitC, 5.000e+02, 1.000e+05, 1.099e+06, 1.000, 0.547849, 0.429152
ZPop_UnitC, 7.500e+02, 1.000e+05, 1.099e+06, 1.000, 0.510081, 0.396189
ZPop_UnitC, 1.000e+03, 1.000e+05, 1.098e+06, 1.000, 0.483257, 0.372733
ZPop_UnitC, 1.500e+03, 1.000e+05, 1.097e+06, 1.000, 0.444512, 0.340275
ZPop_UnitC, 2.000e+03, 1.000e+05, 1.096e+06, 1.000, 0.416741, 0.316996
ZPop_UnitC, 3.000e+03, 1.000e+05, 1.093e+06, 1.000, 0.377688, 0.284432
ZPop_UnitC, 4.000e+03, 1.000e+05, 1.091e+06, 1.000, 0.349447, 0.261668
ZPop_UnitC, 5.000e+03, 1.000e+05, 1.088e+06, 1.000, 0.327194, 0.243746
ZPop_UnitC, 7.500e+03, 1.000e+05, 1.079e+06, 1.000, 0.286266, 0.211778
ZPop_UnitC, 1.000e+04, 1.000e+05, 1.070e+06, 1.000, 0.257033, 0.189022
ZPop_UnitC, 1.500e+04, 1.000e+05, 1.049e+06, 1.000, 0.214324, 0.157055
ZPop_UnitC, 2.000e+04, 1.000e+05, 1.024e+06, 1.000, 0.183791, 0.134787
ZPop_UnitC, 3.000e+04, 1.000e+05, 9.602e+05, 1.000, 0.139155, 0.103372
ZPop_UnitC, 4.000e+04, 1.000e+05, 8.789e+05, 1.000, 0.106253, 0.080783
ZPop_UnitC, 5.000e+04, 1.000e+05, 7.694e+05, 1.000, 0.080484, 0.063209
ZPop_UnitC, 7.500e+04, 1.000e+05, 2.822e+05, 1.000, 0.032889, 0.030167
ZPop_UnitC, 1.000e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
ZPop_UnitC, 1.500e+05, 1.000e+05, 0.000e+00, 1.000, 0.000000, 0.000000
