driver, K, U, Reqs, Zipf_A, GD_PQ, PK_Freq, PQ_Frequency
Z(0.750000)P1C, 1.000e+02, 1.000e+06, 1.010e+07, 1.000, 0.985020, 0.923351, 0.936329
Z(0.750000)P1C, 5.000e+02, 1.000e+06, 1.010e+07, 1.000, 0.955207, 0.872457, 0.890252
Z(0.750000)P1C, 1.000e+03, 1.000e+06, 1.010e+07, 1.000, 0.936242, 0.843353, 0.864624
Z(0.750000)P1C, 2.500e+03, 1.000e+06, 1.010e+07, 1.000, 0.903491, 0.796517, 0.823780
Z(0.750000)P1C, 5.000e+03, 1.000e+06, 1.009e+07, 1.000, 0.870570, 0.753171, 0.786017
Z(0.750000)P1C, 1.000e+04, 1.000e+06, 1.009e+07, 1.000, 0.828592, 0.701860, 0.739737
Z(0.750000)P1C, 2.000e+04, 1.000e+06, 1.008e+07, 1.000, 0.774707, 0.640740, 0.685068
Z(0.750000)P1C, 3.000e+04, 1.000e+06, 1.006e+07, 1.000, 0.736108, 0.599990, 0.647826
Z(0.750000)P1C, 4.000e+04, 1.000e+06, 1.005e+07, 1.000, 0.705031, 0.568484, 0.619033
Z(0.750000)P1C, 5.000e+04, 1.000e+06, 1.003e+07, 1.000, 0.678553, 0.542424, 0.594822
Z(0.750000)P1C, 7.500e+04, 1.000e+06, 9.996e+06, 1.000, 0.624351, 0.491427, 0.545810
Z(0.750000)P1C, 1.000e+05, 1.000e+06, 9.954e+06, 1.000, 0.580618, 0.452099, 0.507951
Z(0.750000)P1C, 1.500e+05, 1.000e+06, 9.862e+06, 1.000, 0.510045, 0.391556, 0.447642
Z(0.750000)P1C, 2.500e+05, 1.000e+06, 9.641e+06, 1.000, 0.404226, 0.306072, 0.358067
Z(0.750000)P1C, 5.000e+05, 1.000e+06, 8.805e+06, 1.000, 0.223561, 0.170119, 0.204255
Z(0.750000)P1C, 1.000e+06, 1.000e+06, 0.000e+00, 1.000, 0.000000, 0.000000, 0.000000
