[======================================================================>] 100.00%
driver, K, Zipf_A, GD_PQ, PQ_Frequency, RM_LRFU(1e-05), RM_DegF(0e+00; 0.100), RM_WDegF(0e+00; 1.000)
ZipfEvenDriver, 10000, 1.0001, 351653.161125, 332228.947201, 348117.922392, 348565.847379, 385210.714514
ZipfEvenDriver, 10000, 1.0001, 351653.161125, 332228.947201, 348117.922392, 348565.847379, 385210.714514
ZPop_UnitC, 10000, 1.0001, 2560145.000000, 2081008.000000, 2182913.000000, 2002783.000000, 2793426.000000
GD1, 10000, 1.0001, 234423.578930, 181540.094453, 203004.602878, 181633.165871, 358477.030153
GD2, 10000, 1.0001, 717849.349073, 657660.296543, 624004.778365, 560765.263812, 843889.137777
GD3, 10000, 1.0001, 648900.003650, 572954.745318, 572107.011544, 504377.295374, 908266.166222
GDNoCost.ReversePops, 10000, 1.0001, 2573463.000000, 5193105.000000, 2207383.000000, 2208353.000000, 2806251.000000
GD3.DynPromote.100, 10000, 1.0001, 668651.562243, 2299782.099710, 707789.640110, 502029.929709, 940394.581550
ZipfFixedDriver, 10000, 1.0001, 1078948.000000, 750874.000000, 835306.000000, 816828.000000, 1393633.000000

driver, K, U, Reqs, Zipf_A, AppWin(1e+04)DegF(0e+00; 1.000), AppWin(5e+04)DegF(0e+00; 1.000), AppWin(1e+05)DegF(0e+00; 1.000), AppWin(5e+05)DegF(0e+00; 1.000), AppWin(1e+06)DegF(0e+00; 1.000), AppWin(5e+06)DegF(0e+00; 1.000), AppWin(1e+07)DegF(0e+00; 1.000)
ZPop_UnitC, 1e+04, 1e+05, 1e+07, 1.000, 2588853.000000, 2456461.000000, 2406027.000000, 2359692.000000, 2353606.000000, 2349649.000000, 2349519.000000
ZPop_UnitC, 1e+04, 1e+05, 1e+06, 1.000, 334018.000000, 323869.000000, 321156.000000, 319832.000000, 319695.000000, 319695.000000, 319695.000000
